NodeID,PositionX,PositionY,PositionZ,Size,Group
抽象,1.58062,0.4312765,3.86034,14,17
格蕾修,2.536442,2.435023,2.368074,2,2
蛋仔派对,2.975542,2.910856,1.661362,5,2
奥运会,1.702663,3.101603,3.128832,3,15
西瓜,3.731572,3.245768,5.800255,3,12
萌宠,5.582911,2.331585,3.892854,12,1
综艺,7.194952,4.270652,1.913006,20,3
改装玩车,3.338733,4.644831,4.789788,11,7
房车,3.223768,5.017737,5.200345,13,7
摄影,1.996283,2.78883,1.252942,20,10
影视综合,0.7294243,4.669025,4.172465,11,4
经典电影,0.7007861,4.521906,4.39103,12,4
Time to Pretend,0.6515769,4.867919,4.979968,4,4
日本,2.709358,5.695516,1.171693,11,14
军事,2.309581,5.671403,1.265146,17,14
热点,2.546607,6.027359,1.106718,32,14
自驾游,3.074021,5.18106,5.21228,5,7
运动文化,2.487557,3.448632,2.718882,12,15
剧情向,-0.5017306,5.103116,3.858037,2,4
音乐综合,3.1548,7.044869,7.606017,17,16
足球,2.330502,2.996922,3.663836,26,15
篮球大事记,2.189317,2.617211,2.842851,3,15
崩坏：星穹铁道,3.022017,2.056888,1.914926,10,2
喵星人,5.386592,1.857449,4.006827,29,1
购车攻略,3.22943,4.009661,5.068301,14,7
摩托车,2.584992,4.376186,5.021046,12,7
Faded,2.587096,4.77113,5.056303,4,7
整活,0.08689569,3.967883,4.277845,19,4
短片,-0.4080311,4.653194,4.121342,18,4
创意,-0.1495512,4.907726,4.135471,10,4
国产,0.3006381,4.766236,4.555561,5,4
