NodeID,PositionX,PositionY,PositionZ,Size,Group
小米,3.319737,4.420924,5.480551,11,7
赛车,3.997977,4.575666,4.968445,14,7
蛋仔派对,2.975542,2.910856,1.661362,5,2
动物二创,5.719414,2.081013,3.417404,12,1
汪星人,5.812357,1.96149,3.908712,24,1
狗狗,5.829471,2.236198,3.939019,9,1
养狗,6.088085,2.319108,3.647038,3,1
小宠异宠,5.377084,2.722373,3.349085,15,1
数码,6.779968,7.288467,6.686352,41,11
电影,0.1955693,4.256165,4.162585,21,4
悬疑,-0.1521972,4.159895,3.838699,5,4
搞笑配音,1.646488,5.143842,1.610283,3,5
吐槽,1.017181,5.558377,1.505546,22,5
网文,1.517011,5.66985,1.481851,2,5
生活,7.086966,7.485795,0.8767818,232,9
亲子,6.474418,7.843257,0.9788686,14,9
vlog,6.68608,7.615418,1.330595,8,9
COSPLAY,6.835468,7.974847,1.598264,2,9
美女,0.8918118,7.06232,6.788676,16,6
分享,1.042084,7.291074,7.288016,10,6
穿搭,0.7710567,6.869289,6.801886,35,6
鞋子,0.7720609,6.652492,6.933933,5,6
袜子,0.7548035,6.459881,6.705221,3,6
可爱,0.6410854,3.818231,2.638371,34,13
直播,0.8742495,3.791873,2.703951,9,13
二年级,0.6848249,3.523776,2.674733,2,13
Happy (Prod. Hedyy),0.7589972,3.478292,2.525801,2,13
教育,1.353419,3.319715,2.483199,3,10
法律,1.733537,2.987786,2.506539,6,10
知识,1.660022,3.279973,1.877466,100,10
