NodeID,PositionX,PositionY,PositionZ,Size,Group
娱乐粉丝创作,7.37137,4.253842,2.455261,20,3
ai,-0.263322,4.402361,4.008628,3,4
种植,6.827607,6.738867,1.283235,2,9
盛世美颜挖掘机,7.52036,4.60212,2.67395,5,3
收藏,7.835532,7.952196,0.9010137,2,9
设计,1.493208,3.814404,1.684254,8,10
人文历史档案馆,2.256227,3.211077,2.452272,3,10
中国舞,0.4223151,4.583032,2.579292,8,13
学习,1.53351,3.609128,2.402029,19,10
安和桥,3.584862,1.911899,6.230241,2,12
美术,2.273101,3.217186,2.306323,3,10
Purple Passion,2.735433,8.059104,7.365975,2,16
清华,0.1513138,3.352827,2.674664,2,13
环球,3.015155,6.152175,1.246441,25,14
别墅,3.39317,5.343578,5.356367,2,7
音乐研究所,3.392159,6.804261,7.794153,2,16
电子,6.991616,6.571829,7.504274,2,11
二年级,0.6848249,3.523776,2.674733,2,13
励志,7.932452,4.149327,1.916579,2,3
格蕾修,2.536442,2.435023,2.368074,2,2
篮球大事记,2.189317,2.617211,2.842851,3,15
风景,7.482812,7.354791,0.2581117,3,9
人类幼崽,6.460897,7.799111,0.6375216,2,9
奈克瑟斯奥特曼,2.68356,1.517885,1.37763,2,2
电台,2.847612,7.003371,7.908206,7,16
排球,1.514859,3.275944,2.513653,2,15
 熊出没,1.750252,0.4161968,4.036923,3,17
鬼灭之刃,3.800921,1.706118,1.869249,3,2
原创动画,3.289798,2.73305,1.667085,9,2
明星舞蹈,0.3733205,3.588994,2.385828,15,13
飞行,0.7604876,3.25995,1.522536,2,10
