NodeID,PositionX,PositionY,PositionZ,Size,Group
华为,6.381236,7.259916,6.682119,10,11
安卓,6.411746,7.51396,6.782652,2,11
科技,6.775392,7.053014,7.002256,101,11
软件分享,6.923279,7.287278,7.813452,3,11
科技,6.775392,7.053014,7.002256,101,11
西游记,-0.219613,4.387888,4.937861,3,4
电视剧,0.2779903,4.398531,4.707326,7,4
三国演义,0.497559,3.929776,4.699565,4,4
电视剧,0.2779903,4.398531,4.707326,7,4
鬼畜,1.75467,0.7733017,3.820789,108,17
玉米投手娘,1.114322,1.125358,4.097645,2,17
植物娘大战僵尸,1.024848,0.9927601,3.995695,2,17
鬼畜,1.75467,0.7733017,3.820789,108,17
雷军,6.355115,7.200849,6.453652,3,11
科技,6.775392,7.053014,7.002256,101,11
计算机技术,7.109533,7.240095,7.523908,14,11
打工人,6.8056,7.351913,7.584212,2,11
黑科技,6.887136,7.285096,7.263294,8,11
计算机技术,7.109533,7.240095,7.523908,14,11
打工人,6.8056,7.351913,7.584212,2,11
计算机技术,7.109533,7.240095,7.523908,14,11
网络,7.419937,7.386607,6.997271,2,11
计算机技术,7.109533,7.240095,7.523908,14,11
AI,6.721047,7.077616,7.57115,23,11
软件应用,6.690033,7.371235,7.254503,20,11
打工人,6.8056,7.351913,7.584212,2,11
软件应用,6.690033,7.371235,7.254503,20,11
电脑技巧,6.842593,7.742817,7.605362,2,11
计算机技术,7.109533,7.240095,7.523908,14,11
电脑技巧,6.842593,7.742817,7.605362,2,11
软件使用大百科,6.885501,7.593874,7.767879,2,11
