NodeID,PositionX,PositionY,PositionZ,Size,Group
游戏,4.684269,6.775804,7.396548,111,8
steam游戏,4.100686,6.603377,7.157104,2,8
主机游戏,4.111101,6.870554,7.26158,2,8
新人,4.174208,7.20893,7.168589,6,8
刺客信条,4.094887,7.128132,7.383602,3,8
燃向,3.970524,7.085799,7.17672,2,8
音乐,3.042404,7.079176,7.760653,112,16
欧美,3.200277,7.014851,7.824207,5,16
歌曲,2.906646,7.1815,7.724949,7,16
混音,2.607781,7.236763,7.609488,3,16
编曲,2.682875,7.193204,7.477339,3,16
音乐教学,2.674434,6.965044,7.441671,7,16
唱歌,2.943511,6.824887,7.383023,2,16
声乐教学,2.693623,6.742424,7.509502,3,16
凡希亚,6.754239,4.407545,1.600958,4,3
香缇莫,7.045918,4.629265,1.558012,2,3
凡希亚,6.754239,4.407545,1.600958,4,3
那英,7.015131,4.435081,1.890856,4,3
黄宣,6.867341,4.493216,1.484579,2,3
娱乐,7.313167,3.99114,2.269135,137,3
娱乐圈,8.01403,3.604934,2.322372,2,3
娱乐吃瓜大会,7.613529,3.710098,1.914153,10,3
励志,7.932452,4.149327,1.916579,2,3
娱乐吃瓜大会,7.613529,3.710098,1.914153,10,3
娱乐资讯,7.352438,3.540738,1.797639,12,3
娱乐,7.313167,3.99114,2.269135,137,3
娱乐资讯,7.352438,3.540738,1.797639,12,3
综艺,7.194952,4.270652,1.913006,20,3
剪辑,7.151908,4.205626,2.314381,13,3
综艺,7.194952,4.270652,1.913006,20,3
香缇莫,7.045918,4.629265,1.558012,2,3
